Status,Planner,Num Actions,Abstract Planning Time,Sim Time,Run,Goals,Unsolved Goals,Scene
False,<class 'llm_task_planning.planner.pddl_planner.PDDLPlanner'>,2,1.7028601169586182,0.13521099090576172,0,get_wash_mug_in_sink_goal,WASHED_SINK Mug|+01.45|+01.65|-00.52 Sink|+00.16|+00.82|-01.80|SinkBasin Faucet|-00.07|+00.90|-01.94,FloorPlan8
False,<class 'llm_task_planning.planner.pddl_planner.PDDLPlanner'>,130,116.39802575111389,5.876125335693359,0,get_wash_mug_in_sink_goal,WASHED_SINK Mug|-00.31|+00.75|-02.10 Sink|-00.11|+00.89|-02.01|SinkBasin Faucet|-00.14|+00.90|-02.29,FloorPlan20
False,<class 'llm_task_planning.planner.pddl_planner.PDDLPlanner'>,144,98.58448576927185,5.564015865325928,0,get_wash_mug_in_sink_goal,WASHED_SINK Mug|-00.35|+00.12|+01.25 Sink|-01.84|+00.73|+00.34|SinkBasin Faucet|-01.66|+00.81|+00.13,FloorPlan25
False,<class 'llm_task_planning.planner.pddl_planner.PDDLPlanner'>,1,0.7585580348968506,0.06190633773803711,1,get_wash_mug_in_sink_goal,WASHED_SINK Mug|+01.45|+01.65|-00.52 Sink|+00.16|+00.82|-01.80|SinkBasin Faucet|-00.07|+00.90|-01.94,FloorPlan8
True,<class 'llm_task_planning.planner.pddl_planner.PDDLPlanner'>,2,0.0003037452697753906,0.0225222110748291,1,get_wash_mug_in_sink_goal,,FloorPlan20
True,<class 'llm_task_planning.planner.pddl_planner.PDDLPlanner'>,106,84.37104058265686,3.696507215499878,1,get_wash_mug_in_sink_goal,,FloorPlan25
False,<class 'llm_task_planning.planner.pddl_planner.PDDLPlanner'>,3,2.462801218032837,0.15816712379455566,2,get_wash_mug_in_sink_goal,WASHED_SINK Mug|+01.45|+01.65|-00.52 Sink|+00.16|+00.82|-01.80|SinkBasin Faucet|-00.07|+00.90|-01.94,FloorPlan8
True,<class 'llm_task_planning.planner.pddl_planner.PDDLPlanner'>,2,0.9411795139312744,0.08783841133117676,2,get_wash_mug_in_sink_goal,,FloorPlan20
False,<class 'llm_task_planning.planner.pddl_planner.PDDLPlanner'>,139,143.73126530647278,5.351385116577148,2,get_wash_mug_in_sink_goal,WASHED_SINK Mug|-00.35|+00.12|+01.25 Sink|-01.84|+00.73|+00.34|SinkBasin Faucet|-01.66|+00.81|+00.13,FloorPlan25
False,<class 'llm_task_planning.planner.pddl_planner.PDDLPlanner'>,1,1.0856044292449951,0.07593417167663574,3,get_wash_mug_in_sink_goal,WASHED_SINK Mug|+01.45|+01.65|-00.52 Sink|+00.16|+00.82|-01.80|SinkBasin Faucet|-00.07|+00.90|-01.94,FloorPlan8
False,<class 'llm_task_planning.planner.pddl_planner.PDDLPlanner'>,130,112.08047676086426,5.038403511047363,3,get_wash_mug_in_sink_goal,WASHED_SINK Mug|-00.31|+00.75|-02.10 Sink|-00.11|+00.89|-02.01|SinkBasin Faucet|-00.14|+00.90|-02.29,FloorPlan20
False,<class 'llm_task_planning.planner.pddl_planner.PDDLPlanner'>,148,96.2277102470398,3.5427207946777344,3,get_wash_mug_in_sink_goal,HOLDS character Lettuce|-01.84|+00.76|+00.27&WASHED_SINK Mug|-00.35|+00.12|+01.25 Sink|-01.84|+00.73|+00.34|SinkBasin Faucet|-01.66|+00.81|+00.13,FloorPlan25
False,<class 'llm_task_planning.planner.pddl_planner.PDDLPlanner'>,1,1.1232497692108154,0.08049154281616211,4,get_wash_mug_in_sink_goal,WASHED_SINK Mug|+01.45|+01.65|-00.52 Sink|+00.16|+00.82|-01.80|SinkBasin Faucet|-00.07|+00.90|-01.94,FloorPlan8
False,<class 'llm_task_planning.planner.pddl_planner.PDDLPlanner'>,128,120.60000801086426,5.457101583480835,4,get_wash_mug_in_sink_goal,WASHED_SINK Mug|-00.31|+00.75|-02.10 Sink|-00.11|+00.89|-02.01|SinkBasin Faucet|-00.14|+00.90|-02.29,FloorPlan20
False,<class 'llm_task_planning.planner.pddl_planner.PDDLPlanner'>,136,112.78815770149231,4.935393810272217,4,get_wash_mug_in_sink_goal,WASHED_SINK Mug|-00.35|+00.12|+01.25 Sink|-01.84|+00.73|+00.34|SinkBasin Faucet|-01.66|+00.81|+00.13,FloorPlan25
False,<class 'llm_task_planning.planner.pddl_planner.PDDLPlanner'>,4,2.8449604511260986,0.1468677520751953,5,get_wash_mug_in_sink_goal,WASHED_SINK Mug|+01.45|+01.65|-00.52 Sink|+00.16|+00.82|-01.80|SinkBasin Faucet|-00.07|+00.90|-01.94,FloorPlan8
False,<class 'llm_task_planning.planner.pddl_planner.PDDLPlanner'>,135,101.47641277313232,6.270683765411377,5,get_wash_mug_in_sink_goal,WASHED_SINK Mug|-00.31|+00.75|-02.10 Sink|-00.11|+00.89|-02.01|SinkBasin Faucet|-00.14|+00.90|-02.29,FloorPlan20
